"experiment","subject","response","ground_truth","trial","sequence","streak","repetition"
"Exp3",5,"probability",50,10,"[1,0,1,0,0,0,0,0]",5,50
"Exp3",5,"probability",50,11,"[1,0,1,1,0,1,0,0]",2,49
"Exp3",5,"probability",50,12,"[1,0,1,0,1,0,1,0]",1,50
"Exp3",5,"probability",50,13,"[0,1,0,0,0,1,0,1]",1,49
"Exp3",5,"probability",50,14,"[1,1,0,1,0,0,0,0]",4,50
"Exp3",5,"probability",50,15,"[1,0,0,0,1,0,1,0]",1,50
"Exp3",5,"probability",50,16,"[1,1,0,0,0,0,0,0]",6,50
"Exp3",5,"probability",50,17,"[1,0,0,0,0,1,0,1]",1,49
"Exp3",5,"probability",50,18,"[1,1,1,1,0,0,1,0]",1,50
"Exp3",6,"probability",50,1,"[1,1,0,0,0,1,1,0]",1,47
"Exp3",6,"probability",50,2,"[0,1,0,1,1,1,1,0]",1,56
"Exp3",6,"probability",50,3,"[0,1,1,0,1,0,1,0]",1,44
"Exp3",6,"probability",50,4,"[1,1,1,1,0,0,1,0]",1,58
"Exp3",6,"probability",50,5,"[0,1,0,1,0,1,0,0]",2,38
"Exp3",6,"probability",50,6,"[1,0,1,0,1,0,1,0]",1,45
"Exp3",6,"probability",50,7,"[0,0,0,0,1,1,0,1]",1,67
"Exp3",6,"probability",50,8,"[0,1,1,1,0,0,1,0]",1,46
"Exp3",6,"probability",50,9,"[1,0,0,0,0,0,0,0]",7,31
"Exp3",6,"probability",50,10,"[1,1,0,1,0,0,0,0]",4,44
"Exp3",6,"probability",50,11,"[1,1,0,0,0,0,0,0]",6,35
"Exp3",6,"probability",50,12,"[1,0,1,0,0,0,0,0]",5,45
"Exp3",6,"probability",50,13,"[1,1,0,1,1,0,0,1]",1,45
"Exp3",6,"probability",50,14,"[1,0,0,0,0,0,0,1]",1,69
"Exp3",6,"probability",50,15,"[0,1,0,0,0,0,0,1]",1,62
"Exp3",6,"probability",50,16,"[1,0,1,0,0,1,1,1]",3,44
"Exp3",6,"probability",50,17,"[1,1,1,1,1,1,0,1]",1,33
"Exp3",6,"probability",50,18,"[0,0,1,1,0,1,1,0]",1,50
"Exp3",7,"probability",50,1,"[1,0,0,0,0,1,0,1]",1,64
"Exp3",7,"probability",50,2,"[0,1,0,0,0,1,0,1]",1,58
"Exp3",7,"probability",50,3,"[0,1,0,1,0,1,0,0]",2,50
"Exp3",7,"probability",50,4,"[1,1,0,1,0,0,1,0]",1,65
"Exp3",7,"probability",50,5,"[1,0,1,0,1,0,0,0]",3,42
"Exp3",7,"probability",50,6,"[1,1,1,0,1,0,1,0]",1,64
"Exp3",7,"probability",50,7,"[0,1,0,1,0,0,1,0]",1,51
"Exp3",7,"probability",50,8,"[1,0,1,0,0,1,1,0]",1,51
"Exp3",7,"probability",50,9,"[0,0,1,0,0,0,0,0]",5,31
"Exp3",7,"probability",50,10,"[1,1,0,0,0,0,0,0]",6,41
"Exp3",7,"probability",50,11,"[0,0,1,1,0,1,0,1]",1,49
"Exp3",7,"probability",50,12,"[0,1,0,1,1,1,1,0]",1,48
"Exp3",7,"probability",50,13,"[1,0,1,0,1,0,1,0]",1,35
"Exp3",7,"probability",50,14,"[1,1,1,1,1,0,1,0]",1,49
"Exp3",7,"probability",50,15,"[1,0,0,0,0,0,0,0]",7,47
"Exp3",7,"probability",50,16,"[0,1,0,1,1,1,0,1]",1,50
"Exp3",7,"probability",50,17,"[1,0,1,0,1,1,1,1]",4,52
"Exp3",7,"probability",50,18,"[0,1,0,1,0,1,0,1]",1,53
"Exp3",8,"probability",50,1,"[1,1,0,1,0,0,1,0]",1,50
"Exp3",8,"probability",50,2,"[0,0,0,0,1,1,0,1]",1,50
"Exp3",8,"probability",50,3,"[1,1,0,1,0,0,0,0]",4,50
"Exp3",8,"probability",50,4,"[0,0,1,1,1,1,1,1]",6,52
"Exp3",8,"probability",50,5,"[0,1,0,1,1,1,0,1]",1,49
"Exp3",8,"probability",50,6,"[1,1,0,0,1,1,0,1]",1,51
"Exp3",8,"probability",50,7,"[1,0,1,0,1,0,1,0]",1,49
"Exp3",8,"probability",50,8,"[0,1,0,0,1,0,1,1]",2,51
"Exp3",8,"probability",50,9,"[1,0,1,0,1,0,0,0]",3,49
"Exp3",8,"probability",50,10,"[1,0,0,0,0,0,0,0]",7,48
"Exp3",8,"probability",50,11,"[0,1,1,1,0,0,1,0]",1,50
"Exp3",8,"probability",50,12,"[1,1,0,1,1,1,1,1]",5,50
"Exp3",8,"probability",50,13,"[1,0,0,0,1,0,1,0]",1,49
"Exp3",8,"probability",50,14,"[0,1,1,0,1,0,1,0]",1,51
"Exp3",8,"probability",50,15,"[0,1,0,0,0,1,0,1]",1,49
"Exp3",8,"probability",50,16,"[1,1,1,1,1,0,1,0]",1,51
"Exp3",8,"probability",50,17,"[0,1,0,0,0,0,0,1]",1,49
"Exp3",8,"probability",50,18,"[1,1,1,0,1,0,1,0]",1,50
"Exp3",9,"probability",50,1,"[1,1,1,1,0,0,1,0]",1,42
"Exp3",9,"probability",50,2,"[1,1,1,1,1,1,0,1]",1,78
"Exp3",9,"probability",50,3,"[0,1,0,0,0,1,0,1]",1,54
"Exp3",9,"probability",50,4,"[0,1,0,0,1,0,1,1]",2,51
"Exp3",9,"probability",50,5,"[1,1,0,1,1,0,0,1]",1,57
"Exp3",9,"probability",50,6,"[0,1,0,1,1,1,1,0]",1,46
"Exp3",9,"probability",50,7,"[1,0,1,1,1,1,1,1]",6,45
"Exp3",9,"probability",50,8,"[1,1,0,0,0,1,1,0]",1,49
"Exp3",9,"probability",50,9,"[1,0,0,0,0,0,0,0]",7,35
"Exp3",9,"probability",50,10,"[0,0,1,0,1,1,1,1]",4,45
"Exp3",9,"probability",50,11,"[0,0,1,1,0,1,1,0]",1,49
"Exp3",9,"probability",50,12,"[1,0,1,0,0,1,1,1]",3,44
"Exp3",9,"probability",50,13,"[0,1,1,0,1,0,1,0]",1,59
"Exp3",9,"probability",50,14,"[1,1,1,0,1,0,1,0]",1,61
"Exp3",9,"probability",50,15,"[0,1,0,1,0,1,0,1]",1,46
"Exp3",9,"probability",50,16,"[1,0,0,0,1,0,1,0]",1,42
"Exp3",9,"probability",50,17,"[0,0,1,1,0,1,0,1]",1,60
"Exp3",9,"probability",50,18,"[1,1,0,1,1,1,1,1]",5,42
"Exp3",10,"probability",50,1,"[0,1,0,1,0,1,0,1]",1,50
"Exp3",10,"probability",50,2,"[1,0,0,0,0,0,0,1]",1,49
"Exp3",10,"probability",50,3,"[0,0,1,1,1,1,1,1]",6,50
"Exp3",10,"probability",50,4,"[0,1,0,0,0,0,0,1]",1,50
"Exp3",10,"probability",50,5,"[0,0,1,0,1,1,1,1]",4,50
"Exp3",10,"probability",50,6,"[0,1,0,1,1,1,0,1]",1,50
"Exp3",10,"probability",50,7,"[1,0,1,0,0,1,1,1]",3,50
"Exp3",10,"probability",50,8,"[0,1,1,1,0,0,1,0]",1,50
"Exp3",10,"probability",50,9,"[0,1,0,1,1,1,1,1]",5,50
"Exp3",10,"probability",50,10,"[1,1,1,1,0,0,1,0]",1,50
"Exp3",10,"probability",50,11,"[1,0,1,0,0,1,1,0]",1,51
"Exp3",10,"probability",50,12,"[1,0,1,1,0,1,0,0]",2,51
"Exp3",10,"probability",50,13,"[1,1,1,1,1,0,1,0]",1,50
"Exp3",10,"probability",50,14,"[0,0,1,1,0,1,1,0]",1,50
"Exp3",10,"probability",50,15,"[1,0,0,0,1,0,1,0]",1,51
"Exp3",10,"probability",50,16,"[0,1,0,1,1,1,1,0]",1,49
"Exp3",10,"probability",50,17,"[1,1,1,0,1,0,1,0]",1,50
"Exp3",10,"probability",50,18,"[1,0,0,0,0,0,0,0]",7,51
"Exp3",11,"probability",50,1,"[0,0,1,1,0,1,1,0]",1,34
"Exp3",11,"probability",50,2,"[0,1,0,1,1,0,0,0]",3,23
"Exp3",11,"probability",50,3,"[0,0,0,0,1,1,0,1]",1,53
"Exp3",11,"probability",50,4,"[0,1,0,0,0,0,0,1]",1,36
"Exp3",11,"probability",50,5,"[1,1,0,1,1,1,1,1]",5,67
"Exp3",11,"probability",50,6,"[1,0,0,0,1,0,1,0]",1,51
"Exp3",11,"probability",50,7,"[1,0,1,1,0,1,0,0]",2,39
"Exp3",11,"probability",50,8,"[1,0,1,0,1,0,1,0]",1,37
"Exp3",11,"probability",50,9,"[1,0,0,0,0,0,0,0]",7,68
"Exp3",11,"probability",50,10,"[0,1,0,0,0,1,0,1]",1,29
"Exp3",11,"probability",50,11,"[1,0,0,0,0,0,0,1]",1,20
"Exp3",11,"probability",50,12,"[1,0,0,0,0,1,0,1]",1,29
"Exp3",11,"probability",50,13,"[0,1,0,0,0,0,0,0]",6,75
"Exp3",11,"probability",50,14,"[0,1,0,1,1,1,0,1]",1,74
"Exp3",11,"probability",50,15,"[1,1,1,1,1,1,0,1]",1,84
